Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal;;Instance;Source;Prim-DFS;Prim-BFS;Kruskal-DFS;Kruskal-BFS;Optimal
brazil58;44;34615;61949;30598;70996;25395;;;;;;;;
brazil58;38;35252;68891;30609;61321;25395;;;;;;;;
brazil58;54;34797;64500;30609;60609;25395;;;;;;;;
brazil58;33;36064;73010;30614;89221;25395;;;;;;;;
brazil58;26;35217;65358;30692;92562;25395;;;;;;;;
brazil58;34;38631;80241;30741;55002;25395;;;;;;;;
brazil58;21;39797;71474;30769;104147;25395;;;;;;;;
brazil58;12;33970;74603;30824;74671;25395;;;;;;;;
brg180;0;207830;277130;203240;1035390;1950;;;;;;;;
brg180;1;114040;321860;188750;1036860;1950;;;;;;;;
brg180;2;16280;271510;197700;1037330;1950;;;;;;;;
brg180;3;114470;299570;197700;1047860;1950;;;;;;;;
brg180;4;180070;320190;199820;1062760;1950;;;;;;;;
brg180;5;158090;251480;208730;1084630;1950;;;;;;;;
brg180;6;198030;254980;207710;931930;1950;;;;;;;;
brg180;7;154310;224250;208730;1020420;1950;;;;;;;;
brg180;8;124240;335040;197710;1047910;1950;;;;;;;;
brg180;9;182980;208280;208730;1034410;1950;;;;;;;;
brg180;10;162350;300390;208730;1113680;1950;;;;;;;;
brg180;11;155540;272030;197750;995870;1950;;;;;;;;
brg180;12;135520;367800;208730;941910;1950;;;;;;;;
brg180;13;157160;250450;208730;1019510;1950;;;;;;;;
brg180;14;223830;257100;197740;1060830;1950;;;;;;;;
brg180;15;199980;230510;208730;1112620;1950;;;;;;;;
brg180;16;152540;291390;191200;1053360;1950;;;;;;;;
brg180;17;199570;283160;193280;1104770;1950;;;;;;;;
brg180;18;104440;283950;196680;951910;1950;;;;;;;;
brg180;19;158540;281690;196680;1080910;1950;;;;;;;;
brg180;20;123810;283890;196680;1065200;1950;;;;;;;;
brg180;21;152350;288890;207710;1054360;1950;;;;;;;;
brg180;22;169540;294360;197750;1019180;1950;;;;;;;;
brg180;23;132280;336920;201180;1045830;1950;;;;;;;;
brg180;24;121900;263070;201180;952910;1950;;;;;;;;
brg180;25;147380;294010;199820;1057360;1950;;;;;;;;
